,Glottocode,label_,outlier_prob,cluster_prob
0,abui1241,0,0.0,1.0
1,ache1246,4,0.0,1.0
2,achi1257,15,0.0,1.0
3,adan1251,0,0.0,1.0
4,adny1235,12,0.0,1.0
5,afri1274,15,0.0,1.0
6,aghu1253,4,0.0,1.0
7,agua1253,15,0.0,1.0
8,ahin1234,3,0.0,1.0
9,akla1241,3,0.0,1.0
10,alan1249,16,0.0,1.0
11,alba1267,15,0.0,1.0
12,algo1255,8,0.0,1.0
13,alya1239,12,,0.0
14,amha1245,12,,0.0
15,ampi1237,3,0.0,1.0
16,anci1242,15,0.0,1.0
17,anei1239,0,0.0,1.0
18,anga1316,15,0.0,1.0
19,aniw1237,12,,0.0
20,anut1237,10,0.0,1.0
21,arab1267,3,0.0,1.0
22,arak1252,-1,0.2502532928064843,0.0
23,araw1273,-1,0.15653495440729479,0.0
24,area1240,12,,0.0
25,arik1262,6,0.0,1.0
26,assa1263,-1,0.0026455026455026362,0.0
27,assi1247,-1,0.038461538461538464,0.0
28,asut1235,12,0.0,1.0
29,atta1244,3,0.0,1.0
30,ayiw1239,7,0.0,1.0
31,baca1243,4,0.0,1.0
32,baff1241,6,0.0,1.0
33,bala1310,3,0.0,1.0
34,bali1278,3,0.0,1.0
35,balu1257,7,0.0,1.0
36,band1339,15,0.0,1.0
37,banj1239,3,0.0,1.0
38,bann1247,3,0.0,1.0
39,bann1248,7,0.0,1.0
40,bard1254,1,0.0,1.0
41,bari1288,3,0.0,1.0
42,basq1248,4,0.0,1.0
43,bata1285,-1,0.015957446808510564,0.0
44,bata1289,-1,0.015957446808510564,0.0
45,bats1242,4,0.0,1.0
46,bela1254,15,0.0,1.0
47,bena1262,-1,0.16356382978723397,0.0
48,beng1280,-1,0.6063829787234042,0.0
49,bera1259,4,0.0,1.0
50,biak1248,-1,0.16356382978723397,0.0
51,bign1238,11,0.0,1.0
52,biha1245,13,0.0,1.0
53,bila1255,4,0.0,1.0
54,bilb1241,5,0.0,1.0
55,bino1237,3,0.0,1.0
56,binu1244,3,0.0,1.0
57,birh1242,-1,0.1307624113475176,0.0
58,biri1256,15,0.0,1.0
59,bitt1240,15,0.0,1.0
60,bloo1239,-1,0.5079787234042553,0.0
61,boan1243,3,0.0,1.0
62,bont1247,0,0.0,1.0
63,bret1244,15,0.0,1.0
64,broo1239,3,0.0,1.0
65,brul1239,7,0.0,1.0
66,buhi1245,16,0.0,1.0
67,buin1247,-1,0.0026455026455026362,0.0
68,buka1261,0,0.0,1.0
69,buku1249,6,0.0,1.0
70,bulg1262,13,0.0,1.0
71,buli1256,15,0.0,1.0
72,bung1264,12,,0.0
73,bung1269,3,0.0,1.0
74,burm1266,-1,0.12121212121212122,0.0
75,buru1303,0,0.0,1.0
76,cahu1264,-1,0.3814589665653495,0.0
77,casi1235,3,0.0,1.0
78,cayu1261,2,0.0,1.0
79,cebu1242,3,0.0,1.0
80,cent1972,12,0.0,1.0
81,cent2084,3,0.0,1.0
82,cent2092,3,0.0,1.0
83,cent2101,15,0.0,1.0
84,cham1312,15,0.0,1.0
85,chen1255,-1,0.015957446808510564,0.0
86,cher1273,-1,0.035714285714285594,0.0
87,chey1247,7,0.19047619047619052,0.8095238095238094
88,chic1270,8,0.0,1.0
89,chim1301,-1,0.781217750257998,0.0
90,chip1261,15,0.0,1.0
91,choc1276,8,0.0,1.0
92,chok1245,7,0.0,1.0
93,chuu1238,3,0.0,1.0
94,cint1239,-1,0.47517730496453897,0.0
95,coca1259,-1,0.8,0.0
96,cogu1240,14,,0.0
97,coma1245,12,0.0,1.0
98,comm1246,2,0.0,1.0
99,corn1251,15,0.0,1.0
100,cota1241,3,0.0,1.0
101,cree1270,-1,0.44893617021276594,0.0
102,cree1272,-1,0.5079787234042553,0.0
103,crow1244,2,0.0,1.0
104,cupe1243,-1,0.29563269876819703,0.0
105,czec1258,13,0.0,1.0
106,daka1243,9,,0.0
107,dako1258,7,0.0,1.0
108,damp1237,3,0.0,1.0
109,dand1238,14,,0.0
110,dani1285,15,0.0,1.0
111,dari1249,12,,0.0
112,dhar1248,5,0.0,1.0
113,dhuw1248,1,0.0,1.0
114,dhuw1249,1,0.0,1.0
115,ding1239,12,0.0,1.0
116,djin1251,5,,0.0
117,dogr1252,-1,0.5079787234042553,0.0
118,dond1249,3,0.0,1.0
119,dupa1235,4,0.0,1.0
120,dutc1256,15,0.0,1.0
121,dyir1250,-1,0.30648429584599785,0.0
122,dzon1239,13,0.0,1.0
123,east1436,15,0.0,1.0
124,east2283,15,0.0,1.0
125,east2295,15,0.0,1.0
126,east2328,15,0.0,1.0
127,east2447,7,0.0,1.0
128,ekon1238,4,0.0,1.0
129,emau1237,5,,0.0
130,ende1235,14,,0.0
131,erzy1239,15,0.0,1.0
132,fiji1243,11,0.0,1.0
133,finn1318,13,0.0,1.0
134,fris1239,4,0.0,1.0
135,futu1245,-1,0.16356382978723397,0.0
136,gada1258,4,0.0,1.0
137,gale1259,15,0.0,1.0
138,gand1255,5,0.0,1.0
139,gang1267,1,0.0,1.0
140,gayo1244,3,0.0,1.0
141,gilb1244,-1,0.40957446808510634,0.0
142,giry1241,12,,0.0
143,gogo1263,6,0.0,1.0
144,gros1243,8,0.0,1.0
145,guaj1256,11,0.0,1.0
146,gugu1255,-1,0.1307624113475176,0.0
147,gugu1255a,-1,0.1307624113475176,0.0
148,guja1252,-1,0.3814589665653495,0.0
149,gunw1252,1,0.0,1.0
150,gusi1247,12,0.0,1.0
151,gwic1235,-1,0.3439716312056737,0.0
152,gwii1239,-1,0.20118898623279097,0.0
153,hano1246a,10,0.0,1.0
154,hano1246b,10,0.0,1.0
155,hanu1241,16,0.0,1.0
156,hare1243,-1,0.13286713286713295,0.0
157,hawa1245,14,0.0,1.0
158,haya1250,2,0.0,1.0
159,hehe1240,7,0.0,1.0
160,here1253,15,0.0,1.0
161,hida1246,8,0.0,1.0
162,hili1240,3,0.0,1.0
163,hind1269,-1,0.6063829787234042,0.0
164,homs1234,15,0.0,1.0
165,hung1274,15,0.0,1.0
166,hupa1239,12,,0.0
167,ibal1244,3,0.0,1.0
168,iban1264,16,0.0,1.0
169,iban1267,3,0.0,1.0
170,icel1247,15,0.0,1.0
171,idaa1241,0,0.0,1.0
172,idii1243,-1,0.08304093567251464,0.0
173,ifug1247,0,0.0,1.0
174,igna1246,4,0.0,1.0
175,ilok1237,16,0.0,1.0
176,indo1316,3,0.0,1.0
177,indo1317,4,0.0,1.0
178,iowa1245,7,0.0,1.0
179,iray1237,16,0.0,1.0
180,iris1253,15,0.0,1.0
181,isna1241,3,0.0,1.0
182,ital1282,4,0.0,1.0
183,iton1250,15,0.0,1.0
184,itsa1239,4,0.0,1.0
185,ivat1242,3,0.0,1.0
186,jama1262,15,0.0,1.0
187,japa1256,-1,0.17996453900709208,0.0
188,java1254,16,0.0,1.0
189,jica1244,-1,0.033849129593810354,0.0
190,juru1256,-1,0.15653495440729479,0.0
191,kagu1239,9,0.0,1.0
192,kaiw1246,-1,0.15653495440729479,0.0
193,kala1377,12,,0.0
194,kala1399,6,0.0,1.0
195,kalk1246,9,0.0,1.0
196,kama1365,0,0.0,1.0
197,kama1373,-1,0.21276595744680846,0.0
198,kamb1297,0,0.0,1.0
199,kamb1299,7,0.0,1.0
200,kank1243,3,0.0,1.0
201,kans1243,8,0.0,1.0
202,kaon1241,-1,0.13784461152882213,0.0
203,kapi1249,0,0.0,1.0
204,kapi1249a,10,0.0,1.0
205,kara1476,12,0.0,1.0
206,kara1499,14,0.0,1.0
207,kare1337,-1,0.296969696969697,0.0
208,kari1304,7,0.0,1.0
209,karo1304,4,0.0,1.0
210,kart1247,12,,0.0
211,kash1277,13,0.0,1.0
212,kash1280,-1,0.13404255319148922,0.0
213,kaur1267,15,0.0,1.0
214,kawi1241,3,0.0,1.0
215,kaya1318,1,0.0,1.0
216,kaza1248,13,0.0,1.0
217,kick1244,-1,0.1143617021276595,0.0
218,kiow1264,5,0.0,1.0
219,kipu1237,4,0.0,1.0
220,kiwa1251,-1,0.07218844984802422,0.0
221,komb1273,5,0.0,1.0
222,komn1238,9,0.0,1.0
223,komo1260,6,0.0,1.0
224,kosr1238,14,,0.0
225,kuan1248,11,0.0,1.0
226,kuku1273,3,0.0,1.0
227,kumb1268,12,,0.0
228,kumy1244,15,0.0,1.0
229,kunz1244,15,0.0,1.0
230,kuuk1238,-1,0.2689969604863221,0.0
231,kuvi1243,13,0.0,1.0
232,kwai1243,2,0.0,1.0
233,kwam1252,-1,0.6063829787234042,0.0
234,kwas1243,16,0.0,1.0
235,kwer1261,9,0.0,1.0
236,kwom1262,11,0.0,1.0
237,kyak1244,-1,0.12841945288753787,0.0
238,lahn1241,13,0.0,1.0
239,lako1247,8,0.0,1.0
240,lamb1271,-1,0.16356382978723397,0.0
241,lamm1241,11,0.0,1.0
242,lard1243,6,0.0,1.0
243,lati1261,13,0.0,1.0
244,lati1261a,12,0.0,1.0
245,latv1249,13,0.0,1.0
246,lauj1238,3,0.0,1.0
247,laur1250,-1,0.0,0.0
248,lauu1247,-1,0.0026455026455026362,0.0
249,lena1238,11,0.0,1.0
250,lete1241,9,0.0,1.0
251,lipa1241,5,0.0,1.0
252,lisu1250a,15,0.0,1.0
253,lisu1250b,15,0.0,1.0
254,lisu1250c,15,0.0,1.0
255,lisu1250d,15,0.0,1.0
256,lith1251,13,0.0,1.0
257,lolo1264,-1,0.1307624113475176,0.0
258,lozi1239,0,0.0,1.0
259,luba1249,-1,0.1307624113475176,0.0
260,luba1250,6,0.0,1.0
261,lugu1238,9,0.0,1.0
262,luis1253,-1,0.30023640661938533,0.0
